date,model,alpha,return,sigma2,VaR,ES,period,period_start
2008-12-23,Historical Simulation,0.025,-1.0391432729627237,2.1506081269971236,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2008-12-24,Historical Simulation,0.025,0.5786383218398263,2.1501881952819035,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2008-12-26,Historical Simulation,0.025,0.5753093522237429,2.1501235740901445,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2008-12-29,Historical Simulation,0.025,-0.28724095061899446,2.150201645009842,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2008-12-30,Historical Simulation,0.025,2.342610539089738,2.150254751559114,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2008-12-31,Historical Simulation,0.025,1.4173516099915529,2.155637782462956,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2009-01-02,Historical Simulation,0.025,2.9696519178003355,2.1572884127576266,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2009-01-05,Historical Simulation,0.025,-0.11840118900765961,2.166143015518297,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2009-01-06,Historical Simulation,0.025,0.6655270889422131,2.165542228347087,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2009-01-07,Historical Simulation,0.025,-3.0414020791079848,2.16571552510634,-2.785967584674989,-5.154332941802198,Period I,2005-01-01
2009-01-08,Historical Simulation,0.025,0.4072458971089522,2.173694376948105,-3.0082932364508737,-5.155662834843998,Period I,2005-01-01
2009-01-09,Historical Simulation,0.025,-2.1651926807517587,2.172831443813178,-3.0082932364508737,-5.155662834843998,Period I,2005-01-01
2009-01-12,Historical Simulation,0.025,-2.4313847924378575,2.1770669159723774,-3.0082932364508737,-5.155662834843998,Period I,2005-01-01
2009-01-13,Historical Simulation,0.025,0.18384891350325747,2.1825023144833398,-3.0082932364508737,-5.155662834843998,Period I,2005-01-01
2009-01-14,Historical Simulation,0.025,-3.195977410592953,2.1825195973520164,-3.0082932364508737,-5.155662834843998,Period I,2005-01-01
2009-01-15,Historical Simulation,0.025,0.03554989494979771,2.192449193376177,-3.0141267098643945,-5.16295416772458,Period I,2005-01-01
2009-01-16,Historical Simulation,0.025,0.7789441442275626,2.19234370095234,-3.0141267098643945,-5.16295416772458,Period I,2005-01-01
2009-01-20,Historical Simulation,0.025,-5.423049312192624,2.192961633265749,-3.0141267098643945,-5.16295416772458,Period I,2005-01-01
2009-01-21,Historical Simulation,0.025,4.228552816206686,2.2220209759759717,-3.031259018495545,-5.2586361826115535,Period I,2005-01-01
2009-01-22,Historical Simulation,0.025,-1.5587881906289451,2.2397942254149443,-3.031259018495545,-5.2586361826115535,Period I,2005-01-01
2009-01-23,Historical Simulation,0.025,0.43410246516630385,2.241671479440108,-3.031259018495545,-5.2586361826115535,Period I,2005-01-01
2009-01-26,Historical Simulation,0.025,0.6834965054715632,2.24177819424188,-3.031259018495545,-5.2586361826115535,Period I,2005-01-01
2009-01-27,Historical Simulation,0.025,1.010648253622144,2.2422453887514457,-3.031259018495545,-5.2586361826115535,Period I,2005-01-01
2009-01-28,Historical Simulation,0.025,3.3274366155453943,2.2421353807733495,-3.031259018495545,-5.2586361826115535,Period I,2005-01-01
2009-01-29,Historical Simulation,0.025,-3.3037741216518097,2.253432636847579,-3.031259018495545,-5.2586361826115535,Period I,2005-01-01
2009-01-30,Historical Simulation,0.025,-2.055277472235818,2.264115643458865,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-02,Historical Simulation,0.025,-0.30227940853050667,2.2676851560793576,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-03,Historical Simulation,0.025,1.3949192449676409,2.2675982577947877,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-04,Historical Simulation,0.025,-0.49080847130710814,2.2688514077598807,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-05,Historical Simulation,0.025,1.4770939817922155,2.26905629051368,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-06,Historical Simulation,0.025,2.8098655578234966,2.2711823128305313,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-09,Historical Simulation,0.025,0.13786205759479542,2.279271022145078,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-10,Historical Simulation,0.025,-4.689182743092,2.2786925618923815,-3.0417891289517693,-5.269131064313306,Period I,2005-01-01
2009-02-11,Historical Simulation,0.025,0.5878462929680316,2.3003508312384486,-3.058867539140529,-5.334423011122611,Period I,2005-01-01
2009-02-12,Historical Simulation,0.025,0.0717507949255106,2.2986008825105735,-3.058867539140529,-5.334423011122611,Period I,2005-01-01
2009-02-13,Historical Simulation,0.025,-1.081613109807438,2.298050144798251,-3.058867539140529,-5.334423011122611,Period I,2005-01-01
2009-02-17,Historical Simulation,0.025,-4.371607108689898,2.298659088848977,-3.058867539140529,-5.334423011122611,Period I,2005-01-01
2009-02-18,Historical Simulation,0.025,-0.2401295831986448,2.316389024402589,-3.1377165912680844,-5.38383838650597,Period I,2005-01-01
2009-02-19,Historical Simulation,0.025,-1.0813647502500439,2.3160451985631267,-3.1377165912680844,-5.38383838650597,Period I,2005-01-01
2009-02-20,Historical Simulation,0.025,-0.9768742769734874,2.3168332448761135,-3.1377165912680844,-5.38383838650597,Period I,2005-01-01
2009-02-23,Historical Simulation,0.025,-3.6434577072935848,2.3177037250314685,-3.1377165912680844,-5.38383838650597,Period I,2005-01-01
