date,model,alpha,return,sigma2,VaR,ES
2024-07-25,EGARCH,0.025,-0.5223989215959486,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-07-26,EGARCH,0.025,1.1137446118047623,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-07-29,EGARCH,0.025,0.05876006791036112,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-07-30,EGARCH,0.025,-0.5079347187582497,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-07-31,EGARCH,0.025,1.6123916227965613,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-01,EGARCH,0.025,-1.4262163712746048,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-02,EGARCH,0.025,-1.879391883853948,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-05,EGARCH,0.025,-2.9556211486463297,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-06,EGARCH,0.025,0.9177326052492472,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-07,EGARCH,0.025,-0.6706438943734617,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-08,EGARCH,0.025,2.28542054770539,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-09,EGARCH,0.025,0.43999277257457176,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-12,EGARCH,0.025,0.052525519244537036,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-13,EGARCH,0.025,1.631185978368206,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-14,EGARCH,0.025,0.31498234853460627,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-15,EGARCH,0.025,1.699500662990351,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-16,EGARCH,0.025,0.2239503597967925,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-19,EGARCH,0.025,0.9515993731818054,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-20,EGARCH,0.025,-0.16274080484896214,0.5946003732442168,-1.5315063008577667,-1.9034197343156924
2024-08-21,EGARCH,0.025,0.34306271319162496,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-08-22,EGARCH,0.025,-0.7879458675625204,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-08-23,EGARCH,0.025,1.0569301785965204,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-08-26,EGARCH,0.025,-0.23866838456129227,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-08-27,EGARCH,0.025,0.1372156045470213,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-08-28,EGARCH,0.025,-0.5822190304537772,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-08-29,EGARCH,0.025,0.008953171475672745,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-08-30,EGARCH,0.025,0.9500739432925398,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-03,EGARCH,0.025,-2.0793707331630267,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-04,EGARCH,0.025,-0.20489111776035251,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-05,EGARCH,0.025,-0.24351739489822358,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-06,EGARCH,0.025,-1.6973352148319156,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-09,EGARCH,0.025,1.1134003557898289,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-10,EGARCH,0.025,0.43462540822322504,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-11,EGARCH,0.025,1.0206676803407815,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-12,EGARCH,0.025,0.8388018582504528,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-13,EGARCH,0.025,0.5209150687080917,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-16,EGARCH,0.025,0.14757829283282722,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-17,EGARCH,0.025,0.04085237096515261,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-18,EGARCH,0.025,-0.2970259928318526,1.2857892256939694,-2.24884533972524,-2.7782496967450485
2024-09-19,EGARCH,0.025,1.6920441150731775,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-09-20,EGARCH,0.025,-0.4792685833681076,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-09-23,EGARCH,0.025,0.2495753073231977,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-09-24,EGARCH,0.025,0.28572285574197775,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-09-25,EGARCH,0.025,-0.22079491041084393,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-09-26,EGARCH,0.025,0.3956812826083578,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-09-27,EGARCH,0.025,-0.145137093237895,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-09-30,EGARCH,0.025,0.3999270284267758,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-01,EGARCH,0.025,-0.8998843314137522,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-02,EGARCH,0.025,0.04219682843773397,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-03,EGARCH,0.025,-0.18298524197309596,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-04,EGARCH,0.025,0.9046298016799974,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-07,EGARCH,0.025,-0.908155546442886,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-08,EGARCH,0.025,0.9413104474973047,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-09,EGARCH,0.025,0.6902569758639199,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-10,EGARCH,0.025,-0.1751558623292343,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-11,EGARCH,0.025,0.5970394631148151,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-14,EGARCH,0.025,0.814505771963461,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-15,EGARCH,0.025,-0.7800018730859807,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-16,EGARCH,0.025,0.43369861093082546,0.7738935029506199,-1.745269020692385,-2.159017588039732
2024-10-17,EGARCH,0.025,0.00858417457111971,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-18,EGARCH,0.025,0.38391931312019056,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-21,EGARCH,0.025,-0.16435639908294927,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-22,EGARCH,0.025,-0.05312953642281611,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-23,EGARCH,0.025,-0.9179382812641814,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-24,EGARCH,0.025,0.21603320122126016,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-25,EGARCH,0.025,-0.03453607322924641,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-28,EGARCH,0.025,0.30866226235923305,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-29,EGARCH,0.025,0.16170697000382717,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-30,EGARCH,0.025,-0.302985258422532,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-10-31,EGARCH,0.025,-1.9797790881375572,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-01,EGARCH,0.025,0.421165053677275,0.6513864529591439,-1.6008322496903498,-1.978612958718363
2024-11-04,EGARCH,0.025,-0.21562536207746716,0.6513864529591439,-1.6008322496903498,-1.978612958718363
